customer_id,recency_days,transaction_count,amount,recency_score,frequency_score,monetary_score,rfm_score
4344,61,16,1621,5,5,5,555
17635,112,10,582,4,3,1,431
35716,72,3,105,5,1,1,511
27183,252,9,988,2,2,3,223
12801,140,9,1290,3,2,5,325
28732,184,10,1021,2,3,4,234
15920,180,8,429,2,2,1,221
9119,71,16,1716,5,5,5,555
6605,13,8,729,5,2,2,522
10472,27,9,862,5,2,3,523
18230,140,10,924,3,3,3,333
26963,395,5,575,1,1,1,111
12108,79,7,802,4,1,2,412
21571,38,18,1592,5,5,5,555
7052,256,14,1223,2,5,4,254
6833,399,9,1146,1,2,4,124
15509,122,8,1136,4,2,4,424
23492,35,7,763,5,1,2,512
20862,446,7,712,1,1,2,112
896,215,8,560,2,2,1,221
6608,205,13,1126,2,5,4,254
32000,412,4,312,1,1,1,111
27750,253,10,885,2,3,3,233
7581,56,10,896,5,3,3,533
352,177,10,1095,2,3,4,234
3205,456,10,955,1,3,3,133
22309,28,9,1153,5,2,4,524
28729,81,9,648,4,2,2,422
22337,160,7,475,3,1,1,311
18312,184,6,358,2,1,1,211
9897,280,9,1022,1,2,4,124
30142,82,10,590,4,3,1,431
39015,99,6,802,4,1,2,412
5687,241,11,965,2,4,3,243
28713,327,3,82,1,1,1,111
23489,167,6,415,3,1,1,311
27345,194,6,507,2,1,1,211
32784,289,8,1011,1,2,4,124
23606,477,12,1140,1,4,4,144
23057,260,7,613,2,1,1,211
17232,92,12,1246,4,4,5,445
29494,45,14,1126,5,5,4,554
3990,96,13,888,4,5,3,453
11831,84,16,1523,4,5,5,455
33207,91,12,1132,4,4,4,444
2703,166,13,1325,3,5,5,355
3885,45,14,1325,5,5,5,555
6895,74,9,838,5,2,3,523
32528,39,10,703,5,3,2,532
23371,156,5,626,3,1,1,311
13834,57,6,545,5,1,1,511
18862,98,9,814,4,2,2,422
4280,29,7,692,5,1,2,512
14990,64,20,1948,5,5,5,555
4772,149,13,1450,3,5,5,355
3730,140,7,590,3,1,1,311
3059,202,10,791,2,3,2,232
39158,136,10,931,3,3,3,333
13426,412,9,847,1,2,3,123
15680,97,14,1556,4,5,5,455
8501,58,12,848,5,4,3,543
4919,547,6,684,1,1,2,112
11689,391,7,783,1,1,2,112
12915,224,5,403,2,1,1,211
33635,251,12,1196,2,4,4,244
28335,119,11,932,4,4,3,443
17202,172,12,918,3,4,3,343
21879,69,11,775,5,4,2,542
17654,117,8,678,4,2,2,422
39733,331,8,1025,1,2,4,124
31994,219,6,555,2,1,1,211
2573,56,10,783,5,3,2,532
36068,387,7,709,1,1,2,112
39830,324,11,984,1,4,3,143
34275,174,9,1121,3,2,4,324
36102,113,15,1360,4,5,5,455
22653,238,8,809,2,2,2,222
22859,150,15,1324,3,5,5,355
31706,184,7,639,2,1,1,211
2330,457,10,602,1,3,1,131
28552,88,18,2162,4,5,5,455
1750,98,14,1444,4,5,5,455
19939,444,10,808,1,3,2,132
13570,61,10,1348,5,3,5,535
37471,99,16,1553,4,5,5,455
10485,451,8,776,1,2,2,122
29129,58,8,1045,5,2,4,524
35712,95,8,1125,4,2,4,424
37999,303,9,1018,1,2,4,124
21922,173,16,1848,3,5,5,355
35380,108,6,260,4,1,1,411
34779,486,7,632,1,1,1,111
10478,125,8,850,4,2,3,423
21975,260,10,1041,2,3,4,234
24305,126,9,899,3,2,3,323
7538,107,19,2092,4,5,5,455
28875,538,9,884,1,2,3,123
29590,185,15,1576,2,5,5,255
38922,173,6,413,3,1,1,311
14148,156,14,1462,3,5,5,355
906,128,17,1771,3,5,5,355
14094,366,8,682,1,2,2,122
11713,158,6,465,3,1,1,311
1058,106,7,874,4,1,3,413
27141,302,16,1207,1,5,4,154
24053,528,8,932,1,2,3,123
8688,129,7,492,3,1,1,311
7257,525,7,648,1,1,2,112
7011,240,14,1351,2,5,5,255
35207,68,10,910,5,3,3,533
2926,82,8,1051,4,2,4,424
32611,402,7,947,1,1,3,113
20581,23,10,871,5,3,3,533
13652,49,11,1119,5,4,4,544
36595,138,8,810,3,2,2,322
20128,179,7,367,2,1,1,211
38148,100,13,901,4,5,3,453
35137,159,13,1031,3,5,4,354
11144,28,11,1229,5,4,5,545
11074,186,16,1674,2,5,5,255
10413,124,11,933,4,4,3,443
6265,435,9,642,1,2,2,122
12538,58,6,593,5,1,1,511
12793,130,9,577,3,2,1,321
13002,132,11,953,3,4,3,343
35374,165,11,641,3,4,2,342
11851,438,9,1006,1,2,4,124
11542,202,11,1062,2,4,4,244
6290,188,7,570,2,1,1,211
36237,140,7,616,3,1,1,311
16359,190,9,783,2,2,2,222
3164,40,11,1248,5,4,5,545
32548,213,10,1070,2,3,4,234
33908,178,14,1595,2,5,5,255
26463,184,7,752,2,1,2,212
15036,224,14,1575,2,5,5,255
12365,163,7,653,3,1,2,312
28054,21,7,596,5,1,1,511
27742,150,12,1215,3,4,4,344
21408,486,9,954,1,2,3,123
23244,151,14,1240,3,5,5,355
7412,123,5,335,4,1,1,411
31374,121,9,912,4,2,3,423
31042,14,12,1006,5,4,4,544
37767,143,20,1804,3,5,5,355
240,172,10,1040,3,3,4,334
2112,12,14,2019,5,5,5,555
24560,142,11,1223,3,4,4,344
34438,46,12,1266,5,4,5,545
26095,86,6,682,4,1,2,412
20191,152,10,957,3,3,3,333
33075,36,8,570,5,2,1,521
23903,145,10,922,3,3,3,333
2021,110,14,1384,4,5,5,455
11941,181,9,676,2,2,2,222
56,486,9,970,1,2,3,123
26674,99,10,918,4,3,3,433
36063,126,9,963,3,2,3,323
29915,126,9,934,3,2,3,323
24798,191,10,775,2,3,2,232
1712,376,11,772,1,4,2,142
15577,516,6,524,1,1,1,111
2147,59,14,1103,5,5,4,554
31134,297,15,1306,1,5,5,155
5502,144,7,521,3,1,1,311
21798,21,10,882,5,3,3,533
32547,168,9,957,3,2,3,323
25790,3,14,1117,5,5,4,554
19619,125,13,1250,4,5,5,455
4382,117,9,854,4,2,3,423
9782,260,7,602,2,1,1,211
5867,97,8,959,4,2,3,423
13014,141,15,1536,3,5,5,355
26768,158,5,365,3,1,1,311
952,395,7,609,1,1,1,111
35610,182,10,1031,2,3,4,234
21150,195,10,930,2,3,3,233
11494,469,4,203,1,1,1,111
19151,163,8,869,3,2,3,323
21779,251,8,800,2,2,2,222
34471,155,11,1083,3,4,4,344
9231,213,11,1302,2,4,5,245
30564,552,7,395,1,1,1,111
14374,203,12,1137,2,4,4,244
29133,148,9,951,3,2,3,323
8799,206,12,1129,2,4,4,244
10194,404,9,729,1,2,2,122
3504,53,7,516,5,1,1,511
3654,215,11,1059,2,4,4,244
7993,57,11,735,5,4,2,542
11740,401,12,1105,1,4,4,144
7825,202,8,550,2,2,1,221
24561,108,12,1357,4,4,5,445
14309,37,13,1380,5,5,5,555
7314,98,8,688,4,2,2,422
38962,182,17,1824,2,5,5,255
17591,929,2,251,1,1,1,111
39129,160,14,1398,3,5,5,355
16207,157,10,993,3,3,3,333
35470,182,12,1140,2,4,4,244
36619,246,4,304,2,1,1,211
6508,118,8,576,4,2,1,421
28446,124,14,1022,4,5,4,454
17396,510,10,1089,1,3,4,134
14881,134,6,499,3,1,1,311
30369,24,7,862,5,1,3,513
24900,17,10,974,5,3,3,533
7880,170,5,668,3,1,2,312
17889,359,10,845,1,3,3,133
1190,220,13,1125,2,5,4,254
30010,152,12,1091,3,4,4,344
36840,88,11,939,4,4,3,443
36135,22,13,1241,5,5,5,555
38837,229,12,1186,2,4,4,244
34063,143,5,440,3,1,1,311
21722,138,10,1068,3,3,4,334
37906,238,14,1424,2,5,5,255
29322,491,7,935,1,1,3,113
16814,41,10,697,5,3,2,532
21323,39,10,1022,5,3,4,534
37708,56,9,845,5,2,3,523
5005,380,4,424,1,1,1,111
35133,182,10,1032,2,3,4,234
5712,171,10,1413,3,3,5,335
37996,34,8,663,5,2,2,522
22884,176,10,885,3,3,3,333
16320,403,11,1109,1,4,4,144
28100,51,10,996,5,3,3,533
32456,99,9,579,4,2,1,421
9984,85,12,978,4,4,3,443
8898,155,10,1025,3,3,4,334
20672,154,9,955,3,2,3,323
6956,104,6,756,4,1,2,412
4064,169,8,693,3,2,2,322
31199,132,11,977,3,4,3,343
9706,123,12,1018,4,4,4,444
32816,29,14,1182,5,5,4,554
6008,254,7,819,2,1,2,212
39585,177,6,549,2,1,1,211
20698,74,17,1566,5,5,5,555
37738,85,8,617,4,2,1,421
31321,127,6,789,3,1,2,312
38394,423,7,598,1,1,1,111
14580,66,10,994,5,3,3,533
34768,239,9,1035,2,2,4,224
27245,96,10,850,4,3,3,433
21420,47,9,1191,5,2,4,524
4843,80,7,933,4,1,3,413
37659,184,11,776,2,4,2,242
37026,148,15,1637,3,5,5,355
7226,118,10,1004,4,3,4,434
32408,96,11,1350,4,4,5,445
5212,310,8,910,1,2,3,123
27846,174,9,1019,3,2,4,324
30574,296,8,1012,1,2,4,124
35,34,9,709,5,2,2,522
7188,198,6,697,2,1,2,212
2451,122,12,768,4,4,2,442
39480,547,5,713,1,1,2,112
12665,160,9,431,3,2,1,321
13294,49,7,514,5,1,1,511
15959,328,7,609,1,1,1,111
32371,92,15,1285,4,5,5,455
6361,284,10,621,1,3,1,131
38781,203,10,952,2,3,3,233
7235,528,10,995,1,3,3,133
26078,145,3,280,3,1,1,311
6065,78,13,1179,4,5,4,454
37484,130,14,1573,3,5,5,355
18565,85,12,1089,4,4,4,444
30849,325,9,578,1,2,1,121
37104,405,10,908,1,3,3,133
32331,161,15,1832,3,5,5,355
14079,96,8,660,4,2,2,422
18328,41,12,1636,5,4,5,545
11271,59,8,774,5,2,2,522
39956,108,11,996,4,4,3,443
12407,229,9,653,2,2,2,222
30012,76,9,655,5,2,2,522
17824,74,10,715,5,3,2,532
50,51,13,1430,5,5,5,555
1728,145,7,1084,3,1,4,314
7486,78,10,1051,4,3,4,434
1955,305,5,391,1,1,1,111
490,130,11,827,3,4,3,343
27447,33,11,827,5,4,3,543
27119,493,4,132,1,1,1,111
25633,124,8,760,4,2,2,422
8731,153,6,282,3,1,1,311
2101,233,11,800,2,4,2,242
30445,91,10,1123,4,3,4,434
7072,380,8,681,1,2,2,122
14513,165,13,1107,3,5,4,354
19191,93,7,801,4,1,2,412
16217,244,13,1398,2,5,5,255
1206,101,8,790,4,2,2,422
13996,265,10,822,2,3,2,232
33286,114,11,1184,4,4,4,444
27888,97,9,772,4,2,2,422
1240,186,8,1161,2,2,4,224
6973,237,5,520,2,1,1,211
21033,78,13,877,4,5,3,453
30787,138,5,391,3,1,1,311
2502,19,13,1477,5,5,5,555
39049,513,5,371,1,1,1,111
39521,221,6,542,2,1,1,211
5891,167,13,910,3,5,3,353
38876,84,14,1197,4,5,4,454
101,130,16,1284,3,5,5,355
16826,73,7,656,5,1,2,512
6946,555,7,607,1,1,1,111
19857,355,8,493,1,2,1,121
33302,304,14,1308,1,5,5,155
9672,170,6,559,3,1,1,311
24939,11,13,1211,5,5,4,554
35757,210,13,1322,2,5,5,255
13691,56,8,539,5,2,1,521
4822,299,8,634,1,2,1,121
13788,98,11,1212,4,4,4,444
1683,156,11,1009,3,4,4,344
9098,249,7,559,2,1,1,211
14477,144,11,917,3,4,3,343
20802,5,14,1627,5,5,5,555
27731,253,14,1523,2,5,5,255
23442,124,12,685,4,4,2,442
30913,155,9,753,3,2,2,322
26728,361,7,503,1,1,1,111
28225,419,5,728,1,1,2,112
32603,122,7,740,4,1,2,412
30035,89,8,774,4,2,2,422
16270,105,7,632,4,1,1,411
29715,165,11,791,3,4,2,342
2649,304,9,700,1,2,2,122
38104,245,7,250,2,1,1,211
31971,106,15,1348,4,5,5,455
25963,210,11,890,2,4,3,243
13309,372,8,1038,1,2,4,124
31359,198,19,2004,2,5,5,255
32684,153,16,1188,3,5,4,354
39834,3,9,484,5,2,1,521
13905,21,13,1458,5,5,5,555
5968,448,5,294,1,1,1,111
16339,195,14,1315,2,5,5,255
369,236,14,1430,2,5,5,255
165,371,10,963,1,3,3,133
36220,333,15,1399,1,5,5,155
28247,78,8,607,4,2,1,421
1228,35,6,556,5,1,1,511
22797,77,13,1321,4,5,5,455
16743,109,12,1347,4,4,5,445
6793,241,10,863,2,3,3,233
22614,319,4,175,1,1,1,111
7749,312,10,1093,1,3,4,134
591,520,9,931,1,2,3,123
13204,310,10,798,1,3,2,132
18161,80,10,1081,4,3,4,434
18215,222,10,1045,2,3,4,234
25124,139,10,1013,3,3,4,334
32910,235,8,824,2,2,2,222
16871,64,10,842,5,3,3,533
11371,482,6,445,1,1,1,111
14018,10,6,540,5,1,1,511
26657,68,12,980,5,4,3,543
13418,230,13,1495,2,5,5,255
23028,127,7,361,3,1,1,311
17266,69,7,939,5,1,3,513
15647,123,9,464,4,2,1,421
34156,93,13,1069,4,5,4,454
6291,350,6,634,1,1,1,111
17157,189,8,662,2,2,2,222
25137,35,11,1380,5,4,5,545
25911,258,8,429,2,2,1,221
1306,383,11,848,1,4,3,143
11568,129,8,1088,3,2,4,324
24129,165,10,1125,3,3,4,334
34387,211,10,1166,2,3,4,234
12536,219,8,789,2,2,2,222
18315,272,6,849,1,1,3,113
8607,88,10,851,4,3,3,433
24144,330,7,817,1,1,2,112
3746,8,16,1402,5,5,5,555
33109,143,9,486,3,2,1,321
35933,169,7,643,3,1,2,312
7583,196,14,1290,2,5,5,255
37113,499,10,661,1,3,2,132
37453,173,12,1016,3,4,4,344
31946,532,10,1152,1,3,4,134
13307,340,7,548,1,1,1,111
30995,133,9,872,3,2,3,323
25669,237,10,652,2,3,2,232
29323,90,7,729,4,1,2,412
18379,115,15,1073,4,5,4,454
31969,108,9,659,4,2,2,422
25289,47,8,1027,5,2,4,524
19801,70,17,1542,5,5,5,555
37442,132,6,596,3,1,1,311
22232,169,5,655,3,1,2,312
25577,430,8,749,1,2,2,122
17018,147,8,354,3,2,1,321
34657,102,9,939,4,2,3,423
8105,152,13,1196,3,5,4,354
16924,362,5,849,1,1,3,113
18821,185,14,1173,2,5,4,254
36568,163,10,796,3,3,2,332
39780,54,6,558,5,1,1,511
18412,265,5,563,2,1,1,211
19055,85,7,620,4,1,1,411
35973,454,5,500,1,1,1,111
38162,302,13,1443,1,5,5,155
33921,21,13,1512,5,5,5,555
39403,104,14,1493,4,5,5,455
19596,65,12,1070,5,4,4,544
33864,50,13,1765,5,5,5,555
34224,224,12,941,2,4,3,243
33110,175,16,1332,3,5,5,355
27759,476,6,497,1,1,1,111
32907,161,10,903,3,3,3,333
26179,408,8,953,1,2,3,123
3451,550,3,260,1,1,1,111
4987,460,12,1536,1,4,5,145
11700,295,10,935,1,3,3,133
24653,184,10,822,2,3,2,232
15904,132,8,960,3,2,3,323
12591,203,5,311,2,1,1,211
2698,206,12,988,2,4,3,243
12279,146,8,660,3,2,2,322
12637,101,11,1215,4,4,4,444
15615,165,13,1381,3,5,5,355
1704,29,11,1274,5,4,5,545
18290,85,12,1242,4,4,5,445
31765,49,6,426,5,1,1,511
20450,46,14,1488,5,5,5,555
20833,173,10,994,3,3,3,333
31587,34,9,855,5,2,3,523
18697,173,13,1344,3,5,5,355
3538,332,4,396,1,1,1,111
9104,312,11,766,1,4,2,142
17767,8,13,1111,5,5,4,554
20426,23,12,1039,5,4,4,544
30238,125,9,862,4,2,3,423
35081,128,10,1217,3,3,4,334
23385,171,12,1012,3,4,4,344
10393,121,10,792,4,3,2,432
4731,363,9,805,1,2,2,122
9686,199,9,880,2,2,3,223
17327,148,9,923,3,2,3,323
9842,141,10,1238,3,3,5,335
38285,8,15,1270,5,5,5,555
29082,136,9,902,3,2,3,323
72,161,16,1800,3,5,5,355
22474,36,17,1504,5,5,5,555
18378,10,12,1132,5,4,4,544
23724,108,8,950,4,2,3,423
5696,234,13,1222,2,5,4,254
22205,98,11,1035,4,4,4,444
9563,159,9,997,3,2,3,323
26508,135,12,1190,3,4,4,344
36933,441,9,572,1,2,1,121
10929,634,3,256,1,1,1,111
2347,198,9,980,2,2,3,223
17145,138,12,998,3,4,3,343
4622,288,7,494,1,1,1,111
3284,84,9,635,4,2,1,421
36384,90,11,1044,4,4,4,444
17540,243,12,932,2,4,3,243
26849,114,16,1586,4,5,5,455
24416,117,10,857,4,3,3,433
289,88,14,1370,4,5,5,455
31384,626,4,292,1,1,1,111
11385,61,10,1253,5,3,5,535
19764,28,9,784,5,2,2,522
4293,148,4,411,3,1,1,311
22242,528,6,691,1,1,2,112
38069,147,13,1188,3,5,4,354
31546,34,9,783,5,2,2,522
35285,84,12,1103,4,4,4,444
5245,152,13,1307,3,5,5,355
16536,155,11,926,3,4,3,343
30554,315,12,968,1,4,3,143
30810,457,9,777,1,2,2,122
31802,461,7,967,1,1,3,113
18849,509,7,714,1,1,2,112
32511,168,8,842,3,2,3,323
7943,123,14,1433,4,5,5,455
2682,156,11,1070,3,4,4,344
12480,166,11,935,3,4,3,343
25173,82,7,901,4,1,3,413
11366,43,8,944,5,2,3,523
1510,163,6,574,3,1,1,311
4098,127,11,1188,3,4,4,344
16860,155,9,810,3,2,2,322
24725,876,4,455,1,1,1,111
17440,228,7,1057,2,1,4,214
37929,219,10,1216,2,3,4,234
26281,89,12,1159,4,4,4,444
21144,22,15,1874,5,5,5,555
30740,425,8,997,1,2,3,123
34719,98,11,1219,4,4,4,444
28203,336,10,854,1,3,3,133
6887,79,10,913,4,3,3,433
10860,29,11,1085,5,4,4,544
17236,76,6,410,5,1,1,511
9846,58,8,563,5,2,1,521
651,93,10,709,4,3,2,432
10448,120,5,262,4,1,1,411
1249,78,11,1086,4,4,4,444
18830,97,16,1573,4,5,5,455
13491,103,7,521,4,1,1,411
23031,139,11,1299,3,4,5,345
12760,109,15,1629,4,5,5,455
23481,120,10,1101,4,3,4,434
34092,131,6,811,3,1,2,312
25511,200,10,1302,2,3,5,235
21352,307,9,1036,1,2,4,124
21704,251,10,886,2,3,3,233
25295,152,8,663,3,2,2,322
38421,378,11,900,1,4,3,143
25975,125,9,883,4,2,3,423
13281,35,8,795,5,2,2,522
17585,47,18,2303,5,5,5,555
26930,192,11,1077,2,4,4,244
15868,48,10,1170,5,3,4,534
2628,272,12,1279,1,4,5,145
13242,454,7,1200,1,1,4,114
11734,45,14,1520,5,5,5,555
4865,79,13,1131,4,5,4,454
17240,497,7,555,1,1,1,111
31022,171,11,967,3,4,3,343
29248,178,8,653,2,2,2,222
36014,99,10,882,4,3,3,433
4067,73,13,1065,5,5,4,554
23125,352,11,1064,1,4,4,144
31034,117,8,592,4,2,1,421
32295,65,6,640,5,1,1,511
23279,89,6,596,4,1,1,411
996,518,5,523,1,1,1,111
3460,72,8,854,5,2,3,523
3649,444,11,1140,1,4,4,144
11154,188,10,970,2,3,3,233
21130,69,11,1205,5,4,4,544
31025,12,7,682,5,1,2,512
