Opportunity No.,Reporting Status,Sales Outcome,Product,Industry,Region,Relative Strength in the segment,Profit of Customer in Million,Sales Value in Million,Profit %,WSES Proportion in Joint Bid,Leads Conversion Class
185,Lost,0,GTMSys,Insurance,UK,58,1.36,6.63,46,56,V
186,Won,1,GTMSys,Defense,Americas,50,1.05,5.42,53,78,V
187,Won,1,Procsys,Consumer goods,UK,53,0.17,3.09,38,56,V
188,Lost,0,LearnSys,Banks,Africa,45,0.91,5.59,63,61,V
189,Won,1,GTMSys,Defense,Other Europe,30,0.61,8.02,47,46,V
190,Won,1,LearnSys,Energy,UK,42,1.26,11.14,43,54,E
191,Lost,0,GTMSys,Others,UK,49,1.73,10.6,57,71,V
192,Won,1,Finsys,Consumer goods,UK,54,0.65,5.76,55,66,V
193,Lost,0,GTMSys,Others,UK,49,0.93,7.05,55,50,F
194,Won,1,GTMSys,Banks,Americas,43,1.15,6.95,52,68,E
195,Won,1,GTMSys,Defense,Americas,50,0.45,7.05,58,51,E
196,Won,1,LearnSys,Energy,UK,42,1.07,9.21,45,74,L
197,Won,1,GTMSys,Airline,UK,56,0.52,10.62,53,57,E
198,Lost,0,GTMSys,Airline,UK,56,0.84,4.34,52,54,E
199,Lost,0,Procsys,Security,India,44,1.17,9.1,70,56,E
200,Won,1,Procsys,Consumer goods,UK,53,0.62,10.44,41,100,V
201,Lost,0,Finsys,Consumer goods,UK,54,1.9,10.83,46,55,E
202,Lost,0,Lifesys,Others,Other Europe,64,1.26,6.82,39,70,E
203,Lost,0,Procsys,Capital Markets,Americas,28,1.59,8.31,77,85,E
204,Lost,0,GTMSys,Others,UK,49,1.14,4.47,47,54,V
205,Lost,0,GTMSys,Finance,UK,55,1.77,8.79,68,57,L
206,Won,1,GTMSys,Capital Markets,Other Europe,41,0.5,8.03,62,77,V
207,Lost,0,GTMSys,Banks,Americas,43,1.69,3.07,43,76,F
208,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.89,4.67,59,48,V
209,Won,1,GTMSys,Banks,Singapore,65,1.16,8.79,34,64,E
210,Won,1,GTMSys,Capital Markets,Other Europe,41,1.07,8.46,52,68,E
211,Won,1,Procsys,Security,India,44,0.78,7.95,53,85,V
212,Lost,0,Finsys,Infrastructure,UK,62,0.8,6.2,63,69,E
213,Lost,0,LearnSys,Insurance,UK,74,0.88,6.44,55,32,V
214,Lost,0,ContactSys,Banks,UK,59,0.58,5.55,56,45,V
215,Won,1,LearnSys,Defense,UK,51,0.6,10.31,44,64,V
216,Lost,0,Lifesys,Consumer goods,UK,46,1.32,8.07,59,61,E
217,Won,1,GTMSys,Security,UK,32,0.72,11.06,40,50,V
218,Won,1,ContactSys,Banks,UK,59,1.26,7.53,34,70,V
219,Won,1,GTMSys,Other Govt.,Japan,24,1.24,8.73,68,72,L
220,Won,1,GTMSys,Others,Africa,39,1.9,6.92,30,65,L
221,Won,1,GTMSys,Airline,UK,56,0.59,11.75,48,49,E
222,Lost,0,ContactSys,Banks,UK,59,1.83,11.03,50,85,V
223,Lost,0,GTMSys,Capital Markets,UK,48,1.3,9.66,50,58,L
224,Lost,0,GTMSys,Insurance,UK,58,1.27,10.15,51,61,E
225,Won,1,Procsys,Energy,UK,34,-0.06,10.05,36,48,V
226,Lost,0,GTMSys,Others,UK,49,0.95,7.57,65,66,F
227,Lost,0,GTMSys,Banks,Africa,52,1.16,8.73,51,35,E
228,Lost,0,GTMSys,Banks,UK,61,1.62,9.25,48,63,E
229,Lost,0,LearnSys,Energy,UK,42,1.41,5.03,51,48,E
230,Lost,0,Procsys,Consumer goods,UK,53,1.24,7.55,49,63,E
231,Lost,0,Finsys,Capital Markets,Other Europe,57,1.12,7.58,54,60,V
232,Lost,0,GTMSys,Others,Africa,39,1,7.82,58,52,E
233,Won,1,LearnSys,Defense,UK,51,0.53,5.95,51,57,V
234,Lost,0,LearnSys,Energy,UK,42,1.48,8.78,53,58,L
235,Won,1,GTMSys,Insurance,UK,58,0.54,5.66,55,47,E
236,Lost,0,GTMSys,Banks,Americas,43,2.31,9.19,63,69,V
237,Won,1,GTMSys,Others,UK,49,0.29,4.62,44,64,F
238,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.09,7.18,71,59,V
239,Lost,0,Finsys,Infrastructure,UK,62,1.54,8.71,53,70,V
240,Lost,0,GTMSys,Banks,Americas,43,1.74,4.35,42,44,V
241,Won,1,GTMSys,Capital Markets,Other Europe,41,0.95,8.48,62,100,E
242,Lost,0,GTMSys,Others,UK,49,1.07,9.85,49,61,E
243,Won,1,GTMSys,Finance,UK,55,0,4.13,44,57,E
244,Lost,0,GTMSys,Security,Singapore,73,1.9,6.59,53,30,E
245,Won,1,GTMSys,Insurance,UK,58,0.13,9.65,56,62,L
246,Lost,0,LearnSys,Defense,UK,51,2.11,10.32,44,60,E
247,Lost,0,GTMSys,Defense,Japan,63,1.59,8,45,46,V
248,Won,1,LearnSys,Banks,Africa,45,0.29,7.31,41,62,L
249,Won,1,Procsys,Other Govt.,Japan,33,0.57,8.96,45,57,V
250,Won,1,Finsys,Infrastructure,UK,62,0.31,5.22,61,51,E
251,Won,1,GTMSys,Banks,Africa,52,0.72,12.51,39,70,E
252,Lost,0,GTMSys,Defense,Americas,50,1.08,9.53,62,56,E
253,Won,1,Logissys,Mobility,UK,35,0.75,7.05,47,78,L
254,Lost,0,LearnSys,Capital Markets,UK,40,1.71,8.25,51,49,E
255,Lost,0,ContactSys,Banks,UK,59,0.99,5.87,68,65,V
256,Won,1,Lifesys,Capital Markets,Other Europe,47,0.97,11.62,45,77,V
257,Lost,0,Procsys,Energy,UK,34,1.26,8.8,56,56,V
258,Lost,0,GTMSys,Banks,Africa,52,1.24,6.9,49,68,V
259,Lost,0,GTMSys,Finance,UK,55,1.02,9.78,59,51,V
260,Won,1,GTMSys,Defense,Japan,63,1.03,8.29,36,63,E
261,Lost,0,Lifesys,Consumer goods,UK,46,0.93,4.84,61,59,E
262,Won,1,Procsys,Other Govt.,Japan,33,0.89,9.77,40,65,V
263,Lost,0,Finsys,Consumer goods,UK,54,1.02,11.83,55,52,V
264,Lost,0,LearnSys,Banks,Africa,45,1.46,6.02,38,39,V
265,Won,1,Logissys,Govt.,UK,36,1.13,10.61,37,54,V
266,Won,1,GTMSys,Others,Americas,38,0.43,7.62,53,65,V
267,Lost,0,ContactSys,Banks,UK,59,0.54,9.09,69,57,E
268,Won,1,GTMSys,Banks,Africa,52,0.39,6.22,48,53,E
269,Won,1,GTMSys,Finance,UK,55,-0.15,7.05,53,73,V
270,Lost,0,LearnSys,Defense,UK,51,2.31,6.01,41,51,F
271,Won,1,Procsys,Consumer goods,UK,53,1.24,6.62,41,60,F
272,Lost,0,GTMSys,Finance,UK,55,1.26,11.07,66,65,E
273,Lost,0,Lifesys,Consumer goods,UK,46,1.41,3.18,64,64,L
274,Lost,0,Logissys,Govt.,UK,36,1.22,7.54,64,49,E
275,Lost,0,GTMSys,Banks,Africa,52,1.51,8.44,63,69,E
276,Won,1,LearnSys,Defense,UK,51,0.7,10.96,60,60,E
277,Lost,0,LearnSys,Energy,UK,42,1.52,6.32,44,43,V
278,Lost,0,Procsys,Security,India,44,1.36,8.24,55,54,E
279,Lost,0,Procsys,Energy,UK,34,1.66,9.64,45,50,E
280,Lost,0,Lifesys,Capital Markets,Other Europe,47,0.72,10.76,62,49,E
281,Lost,0,GTMSys,Defense,Americas,50,1.24,5.95,79,73,V
282,Won,1,Lifesys,Consumer goods,UK,46,1,8.77,54,78,L
283,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.45,5.83,50,66,V
284,Lost,0,GTMSys,Banks,Americas,43,1.56,6.6,46,52,F
285,Won,1,Procsys,Security,Americas,68,0.78,8.49,44,100,V
286,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.22,7.33,50,58,E
287,Won,1,Procsys,Consumer goods,UK,53,1.29,8.3,43,70,E
288,Won,1,GTMSys,Capital Markets,UK,48,0.32,9.27,34,58,V
289,Lost,0,GTMSys,Banks,Africa,52,1.47,9.29,42,52,E
290,Won,1,LearnSys,Banks,Africa,45,0.87,7.6,57,71,V
291,Lost,0,GTMSys,Finance,UK,55,1.33,3.67,43,68,V
292,Won,1,GTMSys,Capital Markets,UK,48,0.89,6.48,47,61,V
293,Lost,0,GTMSys,Telecom equipments,Spain,66,0.85,8.15,50,50,E
294,Won,1,LearnSys,Banks,Africa,45,1.11,4.17,54,67,V
295,Lost,0,LearnSys,Capital Markets,UK,40,1.63,10.82,44,55,V
296,Won,1,Finsys,Capital Markets,UK,60,-0.05,5.28,49,60,L
297,Won,1,GTMSys,Airline,UK,56,0.32,6.44,62,58,V
298,Lost,0,Lifesys,Consumer goods,UK,46,0.8,9.91,65,67,E
299,Lost,0,Lifesys,Others,Other Europe,64,0.73,6.64,59,74,V
300,Won,1,Procsys,Other Govt.,Japan,33,1.33,5.24,43,64,L
301,Lost,0,Lifesys,Others,Other Europe,64,1.55,6.9,50,47,E
302,Won,1,GTMSys,Capital Markets,UK,48,1.22,8.43,43,60,V
303,Lost,0,Finsys,Capital Markets,Other Europe,57,1.94,6.17,46,69,F
304,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.6,7.93,49,68,E
305,Won,1,Lifesys,Capital Markets,Other Europe,47,0.84,5,27,48,E
306,Lost,0,GTMSys,Insurance,UK,58,0.9,8.85,45,53,E
307,Won,1,GTMSys,Others,Americas,38,1.54,10.36,38,43,E
308,Won,1,GTMSys,Others,UK,49,0.46,10.63,53,48,V
309,Lost,0,GTMSys,Others,Africa,39,1.17,13.18,62,51,E
310,Won,1,Lifesys,Consumer goods,UK,46,0.92,9.31,46,59,V
311,Lost,0,GTMSys,Banks,Singapore,65,0.79,7.55,67,66,L
312,Won,1,GTMSys,Banks,Africa,52,0.46,8.81,62,59,E
313,Won,1,GTMSys,Defense,Americas,50,1.69,6.89,27,70,E
314,Won,1,Lifesys,Capital Markets,Other Europe,47,0.65,7.64,49,74,F
315,Lost,0,Procsys,Security,Americas,68,1.36,5.51,38,52,V
316,Won,1,Lifesys,Capital Markets,Other Europe,47,0.58,8.85,54,57,V
317,Won,1,Procsys,Consumer goods,UK,53,0.56,7.81,24,70,V
318,Lost,0,Procsys,Consumer goods,UK,53,1.29,9.16,45,62,E
319,Lost,0,GTMSys,Others,UK,49,1.2,10.12,71,49,E
320,Won,1,LearnSys,Capital Markets,UK,40,-0.17,8.33,49,53,E
321,Won,1,GTMSys,Finance,UK,55,0.83,5.49,46,68,E
322,Lost,0,Finsys,Insurance,UK,31,1.51,7,54,61,L
323,Lost,0,Logissys,Govt.,UK,36,0.84,5.6,68,56,E
324,Lost,0,GTMSys,Finance,UK,55,1.46,6.89,47,52,V
325,Won,1,Finsys,Consumer goods,UK,54,1,11.8,42,46,L
326,Lost,0,ContactSys,Banks,UK,59,1.58,5.29,33,53,V
327,Lost,0,LearnSys,Defense,UK,51,2.11,10.11,56,64,E
328,Won,1,Procsys,Security,India,44,1.36,6.69,35,67,E
329,Lost,0,GTMSys,Banks,Africa,52,1.04,8.48,63,46,E
330,Won,1,LearnSys,Clinical research,UK,78,0.3,7.37,32,67,L
331,Won,1,GTMSys,Banks,UK,61,1.01,8.56,44,75,E
332,Won,1,LearnSys,Defense,UK,51,0.69,7.42,53,55,V
333,Won,1,Lifesys,Capital Markets,Other Europe,47,0.49,5.79,45,53,E
334,Lost,0,Procsys,Security,UK,76,0.83,6.9,50,56,V
335,Won,1,GTMSys,Security,UK,32,0.32,6.71,38,70,E
336,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.56,7.06,44,73,E
337,Won,1,Lifesys,Capital Markets,UK,27,0.75,6.78,51,71,V
338,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.34,7.16,55,69,V
339,Won,1,LearnSys,Energy,UK,42,0.76,8.37,45,60,V
340,Lost,0,Finsys,Consumer goods,UK,54,0.26,11.3,71,53,E
341,Lost,0,GTMSys,Airline,UK,56,1.26,10.78,49,60,V
342,Lost,0,GTMSys,Banks,Singapore,65,0.85,12.11,58,60,E
343,Lost,0,GTMSys,Banks,UK,61,1.39,9.55,58,58,E
344,Lost,0,GTMSys,Other Govt.,Other Europe,72,0.66,5.51,53,62,L
345,Lost,0,Logissys,Mobility,UK,35,1.71,10.55,46,60,E
346,Won,1,GTMSys,Banks,Africa,52,1.47,7.69,19,73,V
347,Lost,0,GTMSys,Defense,Americas,50,1.19,9.39,61,51,V
348,Lost,0,GTMSys,Finance,UK,55,1.89,5.69,59,59,E
349,Won,1,Lifesys,Others,Other Europe,64,0.04,7.38,41,73,E
350,Lost,0,GTMSys,Capital Markets,UK,48,1.5,10.53,56,63,V
351,Lost,0,Lifesys,Consumer goods,UK,46,1.04,9.29,57,76,V
352,Won,1,Logissys,Mobility,UK,35,0.99,8.31,47,52,V
353,Won,1,GTMSys,Others,UK,49,0.3,10.22,42,61,V
354,Won,1,GTMSys,Banks,Africa,52,0.59,8.07,57,63,L
355,Won,1,GTMSys,Capital Markets,UK,48,0.9,6.5,54,67,L
356,Lost,0,GTMSys,Capital Markets,UK,48,1.09,6.81,52,69,E
357,Won,1,LearnSys,Banks,Africa,45,0.66,7.33,44,54,V
358,Won,1,GTMSys,Security,UK,32,1.48,6.48,46,61,V
359,Lost,0,Finsys,Infrastructure,UK,62,1.25,8.71,55,57,E
360,Lost,0,GTMSys,Insurance,UK,58,1.14,7.83,58,69,F
361,Won,1,GTMSys,Insurance,UK,58,0.27,7.87,60,74,E
362,Lost,0,Finsys,Capital Markets,Other Europe,57,1.34,7.81,74,52,E
363,Won,1,Logissys,Govt.,UK,36,0.34,6.36,64,66,L
